10,freshjp,Ch06dandelion_Kw,57.03,2019/05/12,guterham
11,freshjp,Ch06dandelion_Kw,1.01.53,2019/05/05,James NX
12,freshjp,Ch06dandelion_Kw,1.06.70,2019/05/05,ソロ
13,freshjp,Ch06dandelion_Kw,1.11.70,2019/05/05,タカシ
14,freshjp,Ch06dandelion_Kw,1.13.30,2019/05/05,SDL2
15,freshjp,Ch06dandelion_Kw,1.22.53,2019/05/05,パロ・ウル
16,freshjp,Ch06dandelion_Kw,1.26.06,2019/05/05,akira6129
17,freshjp,Ch06dandelion_Kw,1.27.91,2019/05/05,manchofu
18,freshjp,Ch06dandelion_Kw,1.35.40,2019/05/25,サムソン・アラン
19,freshjp,Ch06dandelion_Kw,1.39.46,2019/05/05,ラック=フューリア
20,freshjp,Ch06dandelion_Kw,1.43.55,2019/05/06,むいにゃん
1,freshjp,Ch07hippo_Ct,9.15,2019/05/05,cos
2,freshjp,Ch07hippo_Ct,9.80,2019/05/12,SDL2
3,freshjp,Ch07hippo_Ct,10.48,2019/05/05,gori.sh
4,freshjp,Ch07hippo_Ct,11.93,2019/05/15,わあい
5,freshjp,Ch07hippo_Ct,12.18,2019/05/05,こんたん
6,freshjp,Ch07hippo_Ct,13.03,2019/05/05,こびと
7,freshjp,Ch07hippo_Ct,14.15,2019/05/22,まもる
8,freshjp,Ch07hippo_Ct,18.63,2019/05/15,ATI
9,freshjp,Ch07hippo_Ct,18.81,2019/05/10,てとら
10,freshjp,Ch07hippo_Ct,18.85,2019/05/08,HAL900
11,freshjp,Ch07hippo_Ct,21.71,2019/05/05,とまとぴゅーれ
12,freshjp,Ch07hippo_Ct,23.21,2019/05/16,ハヒーベベ
13,freshjp,Ch07hippo_Ct,27.23,2019/05/12,えみち
14,freshjp,Ch07hippo_Ct,28.41,2019/05/06,145
15,freshjp,Ch07hippo_Ct,29.13,2019/05/15,Tail
16,freshjp,Ch07hippo_Ct,29.40,2019/05/05,naru
17,freshjp,Ch07hippo_Ct,30.01,2019/05/05,ひすい
18,freshjp,Ch07hippo_Ct,31.60,2019/05/20,アンコウくん
19,freshjp,Ch07hippo_Ct,33.23,2019/05/20,たくま
20,freshjp,Ch07hippo_Ct,35.30,2019/05/06,NECOMATA
1,freshjp,Ch07hippo_Kw,11.41,2019/05/17,guterham
2,freshjp,Ch07hippo_Kw,13.20,2019/05/05,gori.sh
3,freshjp,Ch07hippo_Kw,13.61,2019/05/06,ふぁじい
4,freshjp,Ch07hippo_Kw,19.55,2019/05/05,むいにゃん
5,freshjp,Ch07hippo_Kw,19.91,2019/05/12,SDL2
6,freshjp,Ch07hippo_Kw,22.68,2019/05/12,みーり
7,freshjp,Ch07hippo_Kw,22.78,2019/05/06,TKDL
8,freshjp,Ch07hippo_Kw,23.08,2019/05/05,James NX
9,freshjp,Ch07hippo_Kw,23.90,2019/05/17,すいかっち
10,freshjp,Ch07hippo_Kw,25.75,2019/05/05,わあい
11,freshjp,Ch07hippo_Kw,31.90,2019/05/05,akira6129
12,freshjp,Ch07hippo_Kw,32.08,2019/05/05,あきつ
13,freshjp,Ch07hippo_Kw,33.08,2019/05/12,HAL900
14,freshjp,Ch07hippo_Kw,36.26,2019/05/05,おうぎ
15,freshjp,Ch07hippo_Kw,38.56,2019/05/07,タクマ
16,freshjp,Ch07hippo_Kw,38.78,2019/05/05,ソロ
17,freshjp,Ch07hippo_Kw,39.26,2019/05/10,てとら
18,freshjp,Ch07hippo_Kw,46.83,2019/05/12,Lapismoon
